FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;ANCIEN_DIPLOME_1;ANCIEN_DIPLOME_2;ANCIEN_DIPLOME_3;ANCIEN_DIPLOME_4;ANCIEN_DIPLOME_5;ANCIEN_DIPLOME_6;ANCIEN_DIPLOME_7;NOUVEAU_DIPLOME_1;NOUVEAU_DIPLOME_2;NOUVEAU_DIPLOME_3;NOUVEAU_DIPLOME_4;NOUVEAU_DIPLOME_5;NOUVEAU_DIPLOME_6;NOUVEAU_DIPLOME_7;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;NB_MEF_OUVERT;NB_MEF_FERME;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DATE_SESSION_RATTRAPAGE;OBSERVATION;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
99999902;999;INDETERMINE;999;SPECIALITE NON SPECIFIEE;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;FOR.INDET.;FORMATION INDETERMINEE;FORMATION INDETERMINEE;01/09/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;NON SPECIFIEE;DGESCO B2-2;27/07/2021;1;0;;;;;Formation non répertoriée dans les établissements privés hors contrat, ou pour certains jeunes instruits en famille;;;;99;INDETERMINE
46321218;463;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 4;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;S;PRODUCTION;;CSA NIV4;APICULTURE;APICULTURE (CSA);01/09/2017;;;;;;;;;;;;;;;;;2018;;13/07/2017;;;;;;;;;;;;;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DGER AGRI;06/01/2021;1;0;;621;Production agricole et animale;;;;0811;Culture et élevage;04;NIVEAU 4
67010011;670;FORMATIONS GENERALES DE 1ER CYCLE;100;FORMATIONS GENERALES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;1E CYC.GEN;3E AN.D'1 CYCL.EN 3 ANS;3E AN.D'1 CYCL.EN 3 ANS;01/01/1992;31/08/1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;CLASSE OU CYCLE;DGESCO A1-2;22/02/2023;0;2;;999;INCONNU ou non précisé;;;;;;02;NIVEAU 2
26Z13999;26Z;TH  DE NIV 2 NON PRECISE;139;DO13 : LETTRES ET ARTS;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;TH2;LETTRES ET ARTS;LETTRES ET ARTS (TH2);01/09/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;;10/12/2020;1;0;;200;LETTRES ET ARTS;;;Support pour mefs apprentissage;0200;Lettres et arts;06;NIVEAU 6
55034499;550;SES/SEGPA 3EME A 6EME ANNEE;344;SECURITE DES BIENS ET DES PERSONNES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;SES 3 A 6;SECURIT.DES BIENS & DES PERSONNES;SECURITE DES BIENS ET DES PERSONNES;01/09/1996;31/08/2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DGESCO A1-2;10/12/2020;0;4;;861;Protection des biens et des personnes;;;;;;03;NIVEAU 3
91099901;910;ATTESTATION DE FORMATION AUX PREMIERS SECOURS;999;SPECIALITE NON SPECIFIEE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;AFPS;AFPS;ATTESTATION DE FORMATION AUX PREMIERS SECOURS;;31/07/2007;;;;;;;;;;;;;;;;2006;2007;;24/07/2007;;;;;;;;;;;;0;NON SPECIFIEE;;10/12/2020;0;0;;862;Santé et sécurité du travail;;;;;;99;INDETERMINE
55031499;550;SES/SEGPA 3EME A 6EME ANNEE;314;COMPTABILITE, GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;SES 3 A 6;COMPTABILITE, GESTION;COMPTABILITE, GESTION;01/09/1996;31/08/2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DGESCO A1-2;10/12/2020;0;4;;344;Comptabilité et fiscalité;;;;;;03;NIVEAU 3
46031099;460;AUTRES DIPLOMES DE NIVEAU IV;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;DIV-4;SPEC.PLURIVAL.ECHANGES & GESTION;SPECIALIT.PLURIV.DES ECHANGES & GESTION;01/09/1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DEP B3;10/12/2020;1;0;;999;INCONNU ou non précisé;;;;9999;Inconnu;04;NIVEAU 4
55024299;550;SES/SEGPA 3EME A 6EME ANNEE;242;HABILLEMENT (Y. C. MODE, COUTURE);M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;SES 3 A 6;HABILLEMENT (Y. C. MODE, COUTURE);HABILLEMENT (Y. C. MODE, COUTURE);01/09/1996;31/08/2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DGESCO A1-2;10/12/2020;0;4;;542;Textile, vêtement,chaussure et cuir;;;;;;03;NIVEAU 3
55024099;550;SES/SEGPA 3EME A 6EME ANNEE;240;SPECIALIT.PLURITECHNO MATERIAUX SOUPLES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;SES 3 A 6;SPEC.PLURITECHNO MATERIAUX SOUPL.;SPECIALIT.PLURITECHNO MATERIAUX SOUPLES;01/09/1996;31/08/2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DGESCO A1-2;10/12/2020;0;4;;542;Textile, vêtement,chaussure et cuir;;;;;;03;NIVEAU 3
