Code INSEE;Nom Commune;Département Commune;Région Commune;Code Région Commune;Code ML;Nom Officiel ML;Région ML;Code Région ML;Commune présente sur plusieurs ML;Adresse ML;Code Postal ML;Ville ML
75101;Paris - 1er Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75102;Paris - 2ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75103;Paris - 3ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75104;Paris - 4ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75105;Paris - 5ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75106;Paris - 6ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75107;Paris - 7ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75108;Paris - 8ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75109;Paris - 9ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75110;Paris - 10ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75111;Paris - 11ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75112;Paris - 12ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75113;Paris - 13ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75114;Paris - 14ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75115;Paris - 15ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75116;Paris - 16ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75117;Paris - 17ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75118;Paris - 18ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75119;Paris - 19ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
75120;Paris - 20ème Arrondissement;Paris(75);Île-de-France(11);11;75119;75-ML PARIS 19;Île-de-France;11;Non;22 r pajol;75018;Paris - 18ème Arrondissement
77001;Achères-la-Forêt;Seine-et-Marne(77);Île-de-France(11);11;77333;77-ML NEMOURS;Île-de-France;11;Non; 17, rue des tanneurs;77140;Nemours
77002;Amillis;Seine-et-Marne(77);Île-de-France(11);11;77131;77-ML COULOMMIERS;Île-de-France;11;Non;15 Bis av de strasbourg;77120;Coulommiers
77003;Amponville;Seine-et-Marne(77);Île-de-France(11);11;77333;77-ML NEMOURS;Île-de-France;11;Non; 17, rue des tanneurs;77140;Nemours
18288;Vorly;Cher(18);Centre-Val de Loire(24);24;18033;18-ML BOURGES MEHUN ST FLORENT;Centre-Val de Loire;24;Non;5 r de seraucourt;18000;Bourges
18289;Vornay;Cher(18);Centre-Val de Loire(24);24;18033;18-ML BOURGES MEHUN ST FLORENT;Centre-Val de Loire;24;Non;5 r de seraucourt;18000;Bourges
