FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DIPLOME_SISE;N_DIPLOME_SISE.LIBELLE_INTITULE_1;HABILITATION_ORIGINE;NUMERO_UAI;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
16X32679;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH1-X;CHEF PROJET INTELLIGENCE ARTIFICI;CHEF DE PROJET EN INTELLIGENCE ARTIFICIELLE (ASCENCIA PARIS LA DEFENSE);01/09/2022;31/08/2025;;;;;26/01/2025;;;;;;;;;;;rncp 36129;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;23/02/2023;;481;Sciences informatiques;;;;0922818N;;0612;Conception et administration de bases de donn�es et de r�seau;07;NIVEAU 7
26X32034;26X;TH DE NIV 2 ORGANISMES GESTIONNAIRES DIVERS;320;SPECIALITES PLURIVAL.DE LA COMMUNICATION;V;PRODUCTION A CARACTERE ARTISTIQUE;;TH2-X;REALISATEUR 3D;REALISATEUR 3D (MJM GRAPHIC DESIGN PARIS);01/09/2019;31/08/2024;;;;;08/07/2024;;;;;;;;;;;rncp 35775;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;12/07/2021;;214;Stylisme / Conception;;;;0754571L;;0212;Stylisme, d�coration et design industriel;06;NIVEAU 6
26X31218;26X;TH DE NIV 2 ORGANISMES GESTIONNAIRES DIVERS;312;COMMERCE, VENTE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH2-X;RESP COMMUNICATION WEB MARKETING;RESPONSABLE DE COMMUNICATION ET WEBMARKETING (LA COMPAGNIE DE FORMATION);01/09/2019;31/08/2024;;;;;08/07/2024;;;;;;;;;;;rncp 35752;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;12/07/2021;;340;Commerce et administration;;;;0922795N;;0410;Commerce et administration;06;NIVEAU 6
16X33106;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;331;SANTE;N;CONCEPTION;;TH1-X;MANAG MARKETING CCIAL IND SANTE;MANAGER MARKETING ET COMMERCIAL DANS LES INDUSTRIES DE SANTE (MS TBS);01/09/2020;31/08/2026;;;;;08/07/2026;;;;;;;;;;;rncp 35777;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;12/07/2021;;720;Sant�;;;;0310156B;;0910;Sant�;07;NIVEAU 7
56T23403;56T;TH DE NIV 5 MINISTERE DU TRAVAIL - AFPA;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;;TH5-T;CONSTRUCTEUR BOIS;CONSTRUCTEUR BOIS (TP);01/09/2011;31/08/2026;;;;;26/04/2026;;;;;;;;;;;rncp 35507;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;12/07/2021;;582;B�timent et g�nie civil;;;;;;0732;Construction et g�nie civil;03;NIVEAU 3
26X32067;26X;TH DE NIV 2 ORGANISMES GESTIONNAIRES DIVERS;320;SPECIALITES PLURIVAL.DE LA COMMUNICATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH2-X;COMMUNITY MANAGER;COMMUNITY MANAGER (OPENCLASSROOMS);01/09/2022;31/08/2025;;;;;17/02/2025;;;;;;;;;;;rncp 37347;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;07/04/2023;;320;Journalisme et information;;;;0755908P;;0320;Journalisme et information;06;NIVEAU 6
17020029;170;INGENIEURS RECONNUS (RCT..), NFI , ALTERNANCE;200;TECHNOLOGIES INDUSTRIELLES FONDAMENTALES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;ING;ING UNIV CAEN GENIE SYS INDUST;INGENIEUR DIPLOME DE L'ECOLE D'INGENIEURS DE L'UNIVERSITE DE CAEN, SPECIALITE GENIE DES SYSTEMES INDUSTRIELS;01/09/2010;31/08/2024;;;;;;;;;;;;;;;;rncp 17538;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/07/2021;;520;Ing�nierie et techniques apparent�es;;;;0141408E;;0710;Ing�nierie et techniques apparent�es;07;NIVEAU 7
17022105;170;INGENIEURS RECONNUS (RCT..), NFI , ALTERNANCE;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;N;CONCEPTION;;ING;ESIX AGROALIMENTAIRE;INGENIEUR DIPLOME DE L'ECOLE D'INGENIEURS DE L'UNIVERSITE DE CAEN, SPECIALITE AGROALIMENTAIRE;01/09/2014;31/08/2024;;;;;;;;;;;;;;;;rncp 17506;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/07/2021;;541;Traitement des produits alimentaires;6000721;INGENIEUR DIPLOME DE L'ECOLE D'INGENIEURS DE L'UNIVERSITE DE CAEN, SPECIALITE AGROALIMENTAIRE;;0141408E;;0721;Traitement des aliments;07;NIVEAU 7
36X33101;36X;TH DE NIV 3 ORGANISMES GESTIONNAIRES DIVERS;331;SANTE;W;COMMERCIALISATION;;TH3-X;DELEGUE PHARMACEUTIQUE;DELEGUE PHARMACEUTIQUE (INSTITUT LEONARD DE VINCI);01/09/2020;31/08/2024;;;;;20/07/2024;;;;;;;;;;;rncp 36703;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;17/06/2023;;720;Sant�;;;;0922659R;;0910;Sant�;05;NIVEAU 5
17022004;170;INGENIEURS RECONNUS (RCT..), NFI , ALTERNANCE;220;SPEC.PLURITECHNO DES TRANSFORMATIONS;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;ING;GENIE PROCEDES INSA ROUEN;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN, SPECIALITE GENIE DES PROCEDES;01/09/2017;31/08/2026;;;;;;;;;;;;;;;;rncp 26859 corrections SIFA;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/07/2021;;520;Ing�nierie et techniques apparent�es;6001035;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN, SPECIALITE GENIE DES PROCEDES;;0760165S;;0710;Ing�nierie et techniques apparent�es;07;NIVEAU 7
